,PassengerId,Survived,Pclass,Sex,Master,Miss,Mr,Mrs,Others,Family,Fare-bin,Age-bin,Ticket_1,Ticket_2,Ticket_3,Ticket_4,Ticket_C,Ticket_P,Ticket_S
45,46,0.0,3,0,0,0,1,0,0,1,2,4,0,0,0,0,0,0,1
46,47,0.0,3,0,0,0,1,0,0,2,3,4,0,0,1,0,0,0,0
47,48,1.0,3,1,0,1,0,0,0,1,1,4,1,0,0,0,0,0,0
48,49,0.0,3,0,0,0,1,0,0,3,4,4,0,1,0,0,0,0,0
49,50,0.0,3,1,0,0,0,1,0,2,3,3,0,0,1,0,0,0,0
50,51,0.0,3,0,1,0,0,0,0,0,4,2,0,0,1,0,0,0,0
51,52,0.0,3,0,0,0,1,0,0,1,1,4,0,0,0,1,0,0,0
52,53,1.0,1,1,0,0,0,1,0,2,5,5,0,0,0,0,0,1,0
53,54,1.0,2,1,0,0,0,1,0,2,4,4,0,1,0,0,0,0,0
54,55,0.0,1,0,0,0,1,0,0,2,5,6,1,0,0,0,0,0,0
55,56,1.0,1,0,0,0,1,0,0,1,4,5,1,0,0,0,0,0,0
56,57,1.0,2,1,0,1,0,0,0,1,2,4,0,0,0,0,1,0,0
57,58,0.0,3,0,0,0,1,0,0,1,1,4,0,1,0,0,0,0,0
58,59,1.0,2,1,0,1,0,0,0,4,4,2,0,0,0,0,1,0,0
59,60,0.0,3,0,1,0,0,0,0,0,5,2,0,0,0,0,1,0,0
60,61,0.0,3,0,0,0,1,0,0,1,1,4,0,1,0,0,0,0,0
61,62,1.0,1,1,0,1,0,0,0,1,5,5,1,0,0,0,0,0,0
62,63,0.0,1,0,0,0,1,0,0,2,5,5,0,0,1,0,0,0,0
63,64,0.0,3,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0
64,65,0.0,1,0,0,0,1,0,0,1,4,5,0,0,0,0,0,1,0
65,66,1.0,3,0,1,0,0,0,0,3,3,2,0,1,0,0,0,0,0
66,67,1.0,2,1,0,0,0,1,0,1,2,4,0,0,0,0,1,0,0
67,68,0.0,3,0,0,0,1,0,0,1,2,4,0,0,0,0,0,0,1
68,69,1.0,3,1,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0
69,70,0.0,3,0,0,0,1,0,0,3,2,4,0,0,1,0,0,0,0
70,71,0.0,2,0,0,0,1,0,0,1,2,5,0,0,0,0,1,0,0
71,72,0.0,3,1,0,1,0,0,0,0,5,3,0,0,0,0,1,0,0
72,73,0.0,2,0,0,0,1,0,0,1,5,4,0,0,0,0,0,0,1
73,74,0.0,3,0,0,0,1,0,0,2,3,4,0,1,0,0,0,0,0
74,75,1.0,3,0,0,0,1,0,0,1,5,5,1,0,0,0,0,0,0
75,76,0.0,3,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,0
76,77,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
77,78,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
78,79,1.0,2,0,1,0,0,0,0,3,4,1,0,1,0,0,0,0,0
79,80,1.0,3,1,0,1,0,0,0,1,3,4,0,0,1,0,0,0,0
80,81,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
81,82,1.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
82,83,1.0,3,1,0,1,0,0,0,1,1,4,0,0,1,0,0,0,0
83,84,0.0,1,0,0,0,1,0,0,1,5,4,1,0,0,0,0,0,0
84,85,1.0,2,1,0,1,0,0,0,1,2,3,0,0,0,0,0,0,1
85,86,1.0,3,1,0,0,0,1,0,4,3,5,0,0,1,0,0,0,0
86,87,0.0,3,0,0,0,1,0,0,0,4,3,0,0,0,1,0,0,0
87,88,0.0,3,0,0,0,1,0,0,1,2,4,0,0,0,0,0,0,1
88,89,1.0,1,1,0,1,0,0,0,0,5,4,1,0,0,0,0,0,0
89,90,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
90,91,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
91,92,0.0,3,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,0
92,93,0.0,1,0,0,0,1,0,0,2,5,5,0,0,0,1,0,0,0
93,94,0.0,3,0,0,0,1,0,0,4,3,4,0,0,0,0,1,0,0
94,95,0.0,3,0,0,0,1,0,0,1,1,6,0,0,1,0,0,0,0
95,96,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
96,97,0.0,1,0,0,0,1,0,0,1,4,7,0,0,0,0,0,1,0
97,98,1.0,1,0,0,0,1,0,0,2,5,4,0,0,0,0,0,1,0
98,99,1.0,2,1,0,0,0,1,0,2,4,5,0,1,0,0,0,0,0
99,100,0.0,2,0,0,0,1,0,0,2,4,5,0,1,0,0,0,0,0
100,101,0.0,3,1,0,1,0,0,0,1,2,4,0,0,1,0,0,0,0
101,102,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
102,103,0.0,1,0,0,0,1,0,0,2,5,4,0,0,1,0,0,0,0
103,104,0.0,3,0,0,0,1,0,0,1,2,5,0,0,0,1,0,0,0
104,105,0.0,3,0,0,0,1,0,0,3,2,5,0,0,1,0,0,0,0
105,106,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
106,107,1.0,3,1,0,1,0,0,0,1,1,4,0,0,1,0,0,0,0
107,108,1.0,3,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,0
108,109,0.0,3,0,0,0,1,0,0,1,2,5,0,0,1,0,0,0,0
109,110,1.0,3,1,0,1,0,0,0,2,4,2,0,0,1,0,0,0,0
110,111,0.0,1,0,0,0,1,0,0,1,5,5,1,0,0,0,0,0,0
111,112,0.0,3,1,0,1,0,0,0,2,3,3,0,1,0,0,0,0,0
112,113,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
113,114,0.0,3,1,0,1,0,0,0,2,2,4,0,0,0,1,0,0,0
114,115,0.0,3,1,0,1,0,0,0,1,3,3,0,1,0,0,0,0,0
115,116,0.0,3,0,0,0,1,0,0,1,2,4,0,0,0,0,0,0,1
116,117,0.0,3,0,0,0,1,0,0,1,1,7,0,0,1,0,0,0,0
117,118,0.0,2,0,0,0,1,0,0,2,3,4,1,0,0,0,0,0,0
118,119,0.0,1,0,0,0,1,0,0,2,5,4,0,0,0,0,0,1,0
119,120,0.0,3,1,0,1,0,0,0,0,4,1,0,0,1,0,0,0,0
120,121,0.0,2,0,0,0,1,0,0,3,5,4,0,0,0,0,0,0,1
121,122,0.0,3,0,0,0,1,0,0,1,2,4,0,0,0,1,0,0,0
122,123,0.0,2,0,0,0,1,0,0,2,4,5,0,1,0,0,0,0,0
123,124,1.0,2,1,0,1,0,0,0,1,3,5,0,1,0,0,0,0,0
124,125,0.0,1,0,0,0,1,0,0,2,5,6,0,0,1,0,0,0,0
125,126,1.0,3,0,1,0,0,0,0,2,3,2,0,1,0,0,0,0,0
126,127,0.0,3,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,0
127,128,1.0,3,0,0,0,1,0,0,1,1,4,0,0,0,0,1,0,0
128,129,1.0,3,1,0,1,0,0,0,3,4,2,0,1,0,0,0,0,0
129,130,0.0,3,0,0,0,1,0,0,1,1,5,0,0,1,0,0,0,0
130,131,0.0,3,0,0,0,1,0,0,1,2,5,0,0,1,0,0,0,0
131,132,0.0,3,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,1
132,133,0.0,3,1,0,0,0,1,0,2,3,5,0,0,0,1,0,0,0
133,134,1.0,2,1,0,0,0,1,0,2,4,4,0,1,0,0,0,0,0
134,135,0.0,2,0,0,0,1,0,0,1,3,4,0,0,0,0,1,0,0
135,136,0.0,2,0,0,0,1,0,0,1,3,4,0,0,0,0,0,0,1
136,137,1.0,1,1,0,1,0,0,0,3,4,4,1,0,0,0,0,0,0
137,138,0.0,1,0,0,0,1,0,0,2,5,5,1,0,0,0,0,0,0
138,139,0.0,3,0,0,0,1,0,0,1,2,3,0,0,0,1,0,0,0
139,140,0.0,1,0,0,0,1,0,0,1,5,4,0,0,0,0,0,1,0
140,141,0.0,3,1,0,0,0,1,0,3,3,5,0,1,0,0,0,0,0
141,142,1.0,3,1,0,1,0,0,0,1,1,4,0,0,1,0,0,0,0
142,143,1.0,3,1,0,0,0,1,0,2,3,4,0,0,0,0,0,0,1
143,144,0.0,3,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,0
144,145,0.0,2,0,0,0,1,0,0,1,3,3,0,1,0,0,0,0,0
145,146,0.0,2,0,0,0,1,0,0,3,4,4,0,0,0,0,1,0,0
146,147,1.0,3,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,0
147,148,0.0,3,1,0,1,0,0,0,0,4,2,0,0,0,1,0,0,0
148,149,0.0,2,0,0,0,1,0,0,3,4,5,0,1,0,0,0,0,0
149,150,0.0,2,0,0,0,0,0,1,1,3,5,0,1,0,0,0,0,0
150,151,0.0,2,0,0,0,0,0,1,1,3,6,0,0,0,0,0,0,1
151,152,1.0,1,1,0,0,0,1,0,2,5,4,1,0,0,0,0,0,0
152,153,0.0,3,0,0,0,1,0,0,1,2,6,0,0,0,1,0,0,0
153,154,0.0,3,0,0,0,1,0,0,3,3,5,0,0,0,1,0,0,0
154,155,0.0,3,0,0,0,1,0,0,1,1,4,0,0,0,1,0,0,0
155,156,0.0,1,0,0,0,1,0,0,2,5,6,0,0,0,0,0,1,0
156,157,1.0,3,1,0,1,0,0,0,1,1,3,0,0,1,0,0,0,0
157,158,0.0,3,0,0,0,1,0,0,1,2,4,0,0,0,0,0,0,1
158,159,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
159,160,0.0,3,0,1,0,0,0,0,0,5,2,0,0,0,0,1,0,0
160,161,0.0,3,0,0,0,1,0,0,2,3,5,0,0,1,0,0,0,0
161,162,1.0,2,1,0,0,0,1,0,1,3,5,0,0,0,0,1,0,0
162,163,0.0,3,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,0
163,164,0.0,3,0,0,0,1,0,0,1,2,3,0,0,1,0,0,0,0
164,165,0.0,3,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0
165,166,1.0,3,0,1,0,0,0,0,3,3,2,0,0,1,0,0,0,0
166,167,1.0,1,1,0,0,0,1,0,2,5,5,1,0,0,0,0,0,0
167,168,0.0,3,1,0,0,0,1,0,0,4,5,0,0,1,0,0,0,0
168,169,0.0,1,0,0,0,1,0,0,1,4,5,0,0,0,0,0,1,0
169,170,0.0,3,0,0,0,1,0,0,1,5,4,1,0,0,0,0,0,0
170,171,0.0,1,0,0,0,1,0,0,1,4,6,1,0,0,0,0,0,0
171,172,0.0,3,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0
172,173,1.0,3,1,0,1,0,0,0,3,3,1,0,0,1,0,0,0,0
173,174,0.0,3,0,0,0,1,0,0,1,2,4,0,0,0,0,0,0,1
174,175,0.0,1,0,0,0,1,0,0,1,4,6,1,0,0,0,0,0,0
175,176,0.0,3,0,0,0,1,0,0,3,1,3,0,0,1,0,0,0,0
176,177,0.0,3,0,1,0,0,0,0,0,4,2,0,0,0,1,0,0,0
177,178,0.0,1,1,0,1,0,0,0,1,4,5,0,0,0,0,0,1,0
178,179,0.0,2,0,0,0,1,0,0,1,3,4,0,1,0,0,0,0,0
179,180,0.0,3,0,0,0,1,0,0,1,1,5,0,0,0,1,0,0,0
180,181,0.0,3,1,0,1,0,0,0,0,5,3,0,0,0,0,1,0,0
181,182,0.0,2,0,0,0,1,0,0,1,3,5,0,0,0,0,0,0,1
182,183,0.0,3,0,1,0,0,0,0,0,4,2,0,0,1,0,0,0,0
183,184,1.0,2,0,1,0,0,0,0,4,4,1,0,1,0,0,0,0,0
184,185,1.0,3,1,0,1,0,0,0,3,4,1,0,0,1,0,0,0,0
185,186,0.0,1,0,0,0,1,0,0,1,5,5,1,0,0,0,0,0,0
186,187,1.0,3,1,0,0,0,1,0,2,3,4,0,0,1,0,0,0,0
187,188,1.0,1,0,0,0,1,0,0,1,4,5,1,0,0,0,0,0,0
188,189,0.0,3,0,0,0,1,0,0,3,3,5,0,0,1,0,0,0,0
189,190,0.0,3,0,0,0,1,0,0,1,2,5,0,0,1,0,0,0,0
190,191,1.0,2,1,0,0,0,1,0,1,3,5,0,1,0,0,0,0,0
191,192,0.0,2,0,0,0,1,0,0,1,3,4,0,1,0,0,0,0,0
192,193,1.0,3,1,0,1,0,0,0,2,1,4,0,0,1,0,0,0,0
193,194,1.0,2,0,1,0,0,0,0,3,4,1,0,1,0,0,0,0,0
194,195,1.0,1,1,0,0,0,1,0,1,4,5,0,0,0,0,0,1,0
195,196,1.0,1,1,0,1,0,0,0,1,5,6,0,0,0,0,0,1,0
196,197,0.0,3,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,0
197,198,0.0,3,0,0,0,1,0,0,2,2,5,0,0,0,1,0,0,0
198,199,1.0,3,1,0,1,0,0,0,1,1,4,0,0,1,0,0,0,0
199,200,0.0,2,1,0,1,0,0,0,1,3,4,0,1,0,0,0,0,0
200,201,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
201,202,0.0,3,0,0,0,1,0,0,0,5,3,0,0,0,0,1,0,0
202,203,0.0,3,0,0,0,1,0,0,1,1,5,0,0,1,0,0,0,0
203,204,0.0,3,0,0,0,1,0,0,1,1,5,0,1,0,0,0,0,0
204,205,1.0,3,0,0,0,1,0,0,1,2,3,0,0,0,1,0,0,0
205,206,0.0,3,1,0,1,0,0,0,2,2,1,0,0,1,0,0,0,0
206,207,0.0,3,0,0,0,1,0,0,2,3,5,0,0,1,0,0,0,0
207,208,1.0,3,0,0,0,1,0,0,1,3,4,0,1,0,0,0,0,0
208,209,1.0,3,1,0,1,0,0,0,1,1,3,0,0,1,0,0,0,0
209,210,1.0,1,0,0,0,1,0,0,1,4,5,1,0,0,0,0,0,0
210,211,0.0,3,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,1
211,212,1.0,2,1,0,1,0,0,0,1,3,5,0,0,0,1,0,0,0
212,213,0.0,3,0,0,0,1,0,0,1,1,4,0,0,0,1,0,0,0
213,214,0.0,2,0,0,0,1,0,0,1,3,4,0,1,0,0,0,0,0
214,215,0.0,3,0,0,0,1,0,0,2,1,4,0,0,1,0,0,0,0
215,216,1.0,1,1,0,1,0,0,0,2,5,5,0,0,1,0,0,0,0
216,217,1.0,3,1,0,1,0,0,0,1,2,4,0,0,0,0,0,0,1
217,218,0.0,2,0,0,0,1,0,0,2,4,5,0,1,0,0,0,0,0
218,219,1.0,1,1,0,1,0,0,0,1,5,5,1,0,0,0,0,0,0
219,220,0.0,2,0,0,0,1,0,0,1,2,4,0,0,0,1,0,0,0
220,221,1.0,3,0,0,0,1,0,0,1,2,3,0,0,0,0,0,0,1
221,222,0.0,2,0,0,0,1,0,0,1,3,4,0,1,0,0,0,0,0
222,223,0.0,3,0,0,0,1,0,0,1,2,6,0,1,0,0,0,0,0
223,224,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
224,225,1.0,1,0,0,0,1,0,0,2,5,5,1,0,0,0,0,0,0
225,226,0.0,3,0,0,0,1,0,0,1,2,4,0,0,0,0,0,1,0
226,227,1.0,2,0,0,0,1,0,0,1,2,4,0,0,0,0,0,0,1
227,228,0.0,3,0,0,0,1,0,0,1,1,4,0,0,0,1,0,0,0
228,229,0.0,2,0,0,0,1,0,0,1,3,3,0,1,0,0,0,0,0
229,230,0.0,3,1,0,1,0,0,0,0,4,2,0,0,0,1,0,0,0
230,231,1.0,1,1,0,0,0,1,0,2,5,5,0,0,1,0,0,0,0
231,232,0.0,3,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,0
232,233,0.0,2,0,0,0,1,0,0,1,3,6,0,1,0,0,0,0,0
233,234,1.0,3,1,0,1,0,0,0,0,4,2,0,0,1,0,0,0,0
234,235,0.0,2,0,0,0,1,0,0,1,2,4,0,0,0,0,1,0,0
235,236,0.0,3,1,0,1,0,0,0,1,1,4,0,0,0,1,0,0,0
236,237,0.0,2,0,0,0,1,0,0,2,4,5,0,1,0,0,0,0,0
237,238,1.0,2,1,0,1,0,0,0,3,4,2,0,0,0,0,1,0,0
238,239,0.0,2,0,0,0,1,0,0,1,2,4,0,1,0,0,0,0,0
239,240,0.0,2,0,0,0,1,0,0,1,3,5,0,0,0,0,0,0,1
240,241,0.0,3,1,0,1,0,0,0,2,3,2,0,1,0,0,0,0,0
241,242,1.0,3,1,0,1,0,0,0,2,3,2,0,0,1,0,0,0,0
242,243,0.0,2,0,0,0,1,0,0,1,2,4,0,0,0,1,0,0,0
243,244,0.0,3,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,1
244,245,0.0,3,0,0,0,1,0,0,1,1,4,0,1,0,0,0,0,0
245,246,0.0,1,0,0,0,0,0,1,3,5,5,1,0,0,0,0,0,0
246,247,0.0,3,1,0,1,0,0,0,1,1,4,0,0,1,0,0,0,0
247,248,1.0,2,1,0,0,0,1,0,3,3,4,0,1,0,0,0,0,0
248,249,1.0,1,0,0,0,1,0,0,3,5,5,1,0,0,0,0,0,0
249,250,0.0,2,0,0,0,0,0,1,2,4,6,0,1,0,0,0,0,0
250,251,0.0,3,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,0
251,252,0.0,3,1,0,0,0,1,0,3,2,4,0,0,1,0,0,0,0
252,253,0.0,1,0,0,0,1,0,0,1,4,6,1,0,0,0,0,0,0
253,254,0.0,3,0,0,0,1,0,0,2,3,4,0,0,0,1,0,0,0
254,255,0.0,3,1,0,0,0,1,0,3,3,5,0,0,1,0,0,0,0
255,256,1.0,3,1,0,0,0,1,0,3,3,4,0,1,0,0,0,0,0
256,257,1.0,1,1,0,0,0,1,0,1,5,5,0,0,0,0,0,1,0
257,258,1.0,1,1,0,1,0,0,0,1,5,4,1,0,0,0,0,0,0
258,259,1.0,1,1,0,1,0,0,0,1,5,5,0,0,0,0,0,1,0
259,260,1.0,2,1,0,0,0,1,0,2,4,5,0,1,0,0,0,0,0
260,261,0.0,3,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,0
261,262,1.0,3,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0
262,263,0.0,1,0,0,0,1,0,0,3,5,6,1,0,0,0,0,0,0
263,264,0.0,1,0,0,0,1,0,0,1,1,5,1,0,0,0,0,0,0
264,265,0.0,3,1,0,1,0,0,0,1,1,4,0,0,1,0,0,0,0
265,266,0.0,2,0,0,0,1,0,0,1,2,5,0,0,0,0,1,0,0
266,267,0.0,3,0,0,0,1,0,0,0,4,3,0,0,1,0,0,0,0
267,268,1.0,3,0,0,0,1,0,0,2,1,4,0,0,1,0,0,0,0
268,269,1.0,1,1,0,0,0,1,0,2,5,6,0,0,0,0,0,1,0
269,270,1.0,1,1,0,1,0,0,0,1,5,5,0,0,0,0,0,1,0
270,271,0.0,1,0,0,0,1,0,0,1,4,5,1,0,0,0,0,0,0
271,272,1.0,3,0,0,0,1,0,0,1,1,4,0,0,0,1,0,0,0
272,273,1.0,2,1,0,0,0,1,0,2,3,5,0,1,0,0,0,0,0
273,274,0.0,1,0,0,0,1,0,0,2,4,5,0,0,0,0,0,1,0
274,275,1.0,3,1,0,1,0,0,0,1,1,4,0,0,1,0,0,0,0
275,276,1.0,1,1,0,1,0,0,0,2,5,6,1,0,0,0,0,0,0
276,277,0.0,3,1,0,1,0,0,0,1,1,5,0,0,1,0,0,0,0
277,278,0.0,2,0,0,0,1,0,0,1,1,4,0,1,0,0,0,0,0
278,279,0.0,3,0,1,0,0,0,0,0,4,2,0,0,1,0,0,0,0
279,280,1.0,3,1,0,0,0,1,0,3,3,5,0,0,0,0,1,0,0
280,281,0.0,3,0,0,0,1,0,0,1,1,6,0,0,1,0,0,0,0
281,282,0.0,3,0,0,0,1,0,0,1,1,4,0,0,1,0,0,0,0
282,283,0.0,3,0,0,0,1,0,0,1,2,3,0,0,1,0,0,0,0
283,284,1.0,3,0,0,0,1,0,0,1,2,4,0,0,0,1,0,0,0
284,285,0.0,1,0,0,0,1,0,0,1,4,5,1,0,0,0,0,0,0
285,286,0.0,3,0,0,0,1,0,0,1,2,5,0,0,1,0,0,0,0
286,287,1.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
287,288,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
288,289,1.0,2,0,0,0,1,0,0,1,3,5,0,1,0,0,0,0,0
289,290,1.0,3,1,0,1,0,0,0,1,1,4,0,0,1,0,0,0,0
290,291,1.0,1,1,0,1,0,0,0,1,5,4,1,0,0,0,0,0,0
291,292,1.0,1,1,0,0,0,1,0,2,5,4,1,0,0,0,0,0,0
292,293,0.0,2,0,0,0,1,0,0,1,3,5,0,0,0,0,0,0,1
293,294,0.0,3,1,0,1,0,0,0,1,2,4,0,0,1,0,0,0,0
294,295,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
295,296,0.0,1,0,0,0,1,0,0,1,4,5,0,0,0,0,0,1,0
296,297,0.0,3,0,0,0,1,0,0,1,1,4,0,1,0,0,0,0,0
297,298,0.0,1,1,0,1,0,0,0,4,5,1,1,0,0,0,0,0,0
298,299,1.0,1,0,0,0,1,0,0,1,4,5,1,0,0,0,0,0,0
299,300,1.0,1,1,0,0,0,1,0,2,5,5,0,0,0,0,0,1,0
300,301,1.0,3,1,0,1,0,0,0,1,1,4,0,0,0,1,0,0,0
301,302,1.0,3,0,0,0,1,0,0,3,4,4,0,0,1,0,0,0,0
302,303,0.0,3,0,0,0,1,0,0,1,1,4,0,0,0,1,0,0,0
303,304,1.0,2,1,0,1,0,0,0,1,3,4,0,1,0,0,0,0,0
304,305,0.0,3,0,0,0,1,0,0,1,2,4,0,0,0,1,0,0,0
305,306,1.0,1,0,1,0,0,0,0,4,5,1,1,0,0,0,0,0,0
306,307,1.0,1,1,0,1,0,0,0,1,5,5,1,0,0,0,0,0,0
307,308,1.0,1,1,0,0,0,1,0,2,5,3,0,0,0,0,0,1,0
308,309,0.0,2,0,0,0,1,0,0,2,4,4,0,0,0,0,0,1,0
309,310,1.0,1,1,0,1,0,0,0,1,5,4,0,0,0,0,0,1,0
310,311,1.0,1,1,0,1,0,0,0,1,5,4,1,0,0,0,0,0,0
311,312,1.0,1,1,0,1,0,0,0,0,5,3,0,0,0,0,0,1,0
312,313,0.0,2,1,0,0,0,1,0,3,4,4,0,1,0,0,0,0,0
313,314,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
314,315,0.0,2,0,0,0,1,0,0,3,4,5,0,0,0,1,0,0,0
315,316,1.0,3,1,0,1,0,0,0,1,1,4,0,0,1,0,0,0,0
316,317,1.0,2,1,0,0,0,1,0,2,4,4,0,1,0,0,0,0,0
317,318,0.0,2,0,0,0,0,0,1,1,3,6,0,1,0,0,0,0,0
318,319,1.0,1,1,0,1,0,0,0,3,5,5,0,0,1,0,0,0,0
319,320,1.0,1,1,0,0,0,1,0,3,5,5,1,0,0,0,0,0,0
320,321,0.0,3,0,0,0,1,0,0,1,1,4,0,0,0,1,0,0,0
321,322,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
322,323,1.0,2,1,0,1,0,0,0,1,3,4,0,1,0,0,0,0,0
323,324,1.0,2,1,0,0,0,1,0,3,4,4,0,1,0,0,0,0,0
324,325,0.0,3,0,0,0,1,0,0,0,5,3,0,0,0,0,1,0,0
325,326,1.0,1,1,0,1,0,0,0,1,5,5,0,0,0,0,0,1,0
326,327,0.0,3,0,0,0,1,0,0,1,1,6,0,0,1,0,0,0,0
327,328,1.0,2,1,0,0,0,1,0,1,3,5,0,1,0,0,0,0,0
